eps1         u           sigma3       sigma3'      sigma1       sigma1'      p           q
[%]         [kPa]        [kPa]        [kPa]        [kPa]        [kPa]        [kPa]       [kPa] 

7.8655      622.9902     698.1461      75.1559     805.6766     182.6865     110.9994     107.5305
7.8899      622.9902     698.1123      75.1221     805.7375     182.7473     110.9972     107.6252
7.9243      623.0128     698.1123      75.0995     805.8203     182.8075     111.0022     107.7080
7.9510      623.0241     698.1461      75.1220     805.8740     182.8498     111.0313     107.7279
7.9743      623.0807     698.1799      75.0992     806.0546     182.9740     111.0575     107.8747
7.9978      623.0920     698.1461      75.0541     806.0752     182.9833     111.0305     107.9291
8.0211      623.1146     698.1461      75.0315     806.1401     183.0255     111.0295     107.9940
8.0456      623.1146     698.1461      75.0315     806.2034     183.0888     111.0506     108.0573
8.0689      623.1485     698.1461      74.9976     806.2681     183.1196     111.0383     108.1220
8.0973      623.1598     698.1123      74.9525     806.2929     183.1331     111.0127     108.1806
8.1266      623.1938     698.1123      74.9186     806.4323     183.2386     111.0252     108.3200
8.1513      623.2277     698.1123      74.8846     806.4952     183.2675     111.0123     108.3829
8.1775      623.2616     698.1123      74.8507     806.5767     183.3151     111.0055     108.4644
8.2049      623.3182     698.1123      74.7942     806.6772     183.3590     110.9824     108.5649
8.2342      623.3521     698.1123      74.7602     806.7345     183.3824     110.9676     108.6222
8.2599      623.2955     698.1123      74.8168     806.7551     183.4595     111.0310     108.6428
8.2885      623.3182     698.1123      74.7942     806.8028     183.4847     111.0243     108.6905
8.3141      623.3521     698.1123      74.7602     806.8950     183.5429     111.0211     108.7827
8.3376      623.3634     698.1123      74.7489     806.9079     183.5446     111.0141     108.7956
8.3671      623.4312     698.1123      74.6811     807.0158     183.5845     110.9822     108.9035
8.3942      623.4765     698.0785      74.6020     807.0720     183.5955     110.9332     108.9935
8.4198      623.4652     698.1123      74.6471     807.1875     183.7223     111.0055     109.0752
8.4507      623.4878     698.0447      74.5569     807.2054     183.7176     110.9438     109.1607
8.4752      623.4991     698.0785      74.5794     807.2915     183.7924     110.9837     109.2129
8.4973      623.5104     698.1123      74.6019     807.4008     183.8904     111.0314     109.2885
8.5197      623.5330     698.0785      74.5455     807.4624     183.9293     111.0068     109.3838
8.5486      623.5217     698.1123      74.5906     807.5329     184.0112     111.0641     109.4206
8.5758      623.5443     698.0785      74.5342     807.5276     183.9833     111.0172     109.4491
8.6026      623.5670     698.0447      74.4778     807.5635     183.9965     110.9840     109.5188
8.6304      623.5896     698.0447      74.4552     807.6217     184.0321     110.9808     109.5770
8.6559      623.5896     698.0447      74.4552     807.7639     184.1743     111.0282     109.7192
8.6831      623.6122     698.0109      74.3987     807.7991     184.1869     110.9948     109.7881
8.7093      623.6235     698.0109      74.3874     807.8184     184.1949     110.9899     109.8075
8.7373      623.6348     698.0447      74.4099     807.9607     184.3259     111.0486     109.9160
8.7655      623.6461     698.0447      74.3986     807.9978     184.3517     111.0496     109.9531
8.7909      623.6914     698.0447      74.3534     808.0180     184.3267     111.0111     109.9733
8.8154      623.6687     698.0785      74.4098     808.1237     184.4550     111.0915     110.0452
8.8407      623.6574     698.0447      74.3873     808.1811     184.5237     111.0994     110.1364
8.8682      623.7140     698.0447      74.3308     808.2494     184.5355     111.0657     110.2047
8.8949      623.7479     698.0109      74.2630     808.3354     184.5875     111.0378     110.3244
8.9228      623.7592     698.0109      74.2517     808.4132     184.6540     111.0525     110.4022
8.9477      623.7705     697.9771      74.2066     808.4404     184.6699     111.0277     110.4632
8.9753      623.7931     698.0447      74.2516     808.5859     184.7928     111.0987     110.5412
9.0037      623.7931     698.0109      74.2178     808.5682     184.7751     111.0702     110.5573
9.0303      623.8157     698.0447      74.2290     808.6811     184.8654     111.1078     110.6364
9.0608      623.8157     698.0447      74.2290     808.7250     184.9092     111.1224     110.6803
9.0859      623.8271     698.0109      74.1839     808.7416     184.9145     111.0941     110.7306
